id	title	description	link	image_link	availability	price	condition	brand	mpn
ATD-HO-187	מנורת שולחן מבטון Holo | ATOD	מנורת Holo מפיצה אור מלא ב-360 מעלות, ומעניקה הארה רכה ומאוזנת לכל הכיוונים. האור החמים והנעים שלה מושלם לחללים שמיועדים לרגיעה ולהרפיה. הצורה והגודל המדויקים שלה הופכים אותה לאידיאלית לשולחנות עבודה, מדפים ומזנונים. המנורה מוסיפה אווירה שלווה ונעימה לכל חדר שבו היא נמצאת.	https://studioatod.com/product-holo.html	https://studioatod.com/assets/img/177757_db7fbcf53a6046119dcebb33ac4b3669.jpg	in_stock	800.00 ILS	new	ATOD	ATD-HO-187
ATD-IL-127	מנורת שולחן מבטון ilo | ATOD	מנורת ilo פולטת אור רך ומפוזר המתפזר בעדינות סביב. היא מעוצבת למילוי החלל הסמוך בזוהר חמים מבלי להאיר כלפי מעלה. איזון האור יוצר אווירה רגועה וחמימה בחדר. צורתה הקומפקטית הופכת אותה למתאימה במיוחד לשולחנות עבודה, מדפים או שידות לילה. המנורה מוסיפה תחושת חמימות ואינטימיות באמצעות תאורה עדינה מהצדדים.	https://studioatod.com/product-ilo.html	https://studioatod.com/assets/img/177757_3b3d1e17aa1b4f0dab9f08c4921e3b82.jpg	in_stock	700.00 ILS	new	ATOD	ATD-IL-127
ATD-RE-100	מנורת שולחן מבטון Redel | ATOD	מנורת Redel מכוונת את האור בעדינות כלפי מטה אל המשטח שמתחתיה. היא מעוצבת ליצירת הארה ממוקדת אך רכה על השולחן. האור החמים והנעים שלה מושלם לקריאה או לרגעי ערב רגועים. העיצוב המינימליסטי משתלב יפה על שולחנות עבודה, מדפים או שידות לילה. המנורה מוסיפה אווירה שלווה ונעימה באמצעות אור עדין היורד כלפי מטה.	https://studioatod.com/product-redel.html	https://studioatod.com/assets/img/177757_d455b6fa00f34c4c9e159be046d1b386.jpg	in_stock	900.00 ILS	new	ATOD	ATD-RE-100
ATD-QI-120	מנורת שולחן מבטון Qibo | ATOD	מנורת Qibo מקרינה אור גם קדימה וגם אחורה. היא מעוצבת ליצירת איזון רך בין תאורה ישירה לבין אור מוחזר. הזוהר החמים והעדין שלה מוסיף עומק ותחושת נוחות בחלל. צורתה הקומפקטית מתאימה במיוחד לשולחנות עבודה, מדפים או שולחנות צד. המנורה יוצרת אווירה רגועה וחמימה באמצעות אפקט תאורה דו-כיווני וייחודי.	https://studioatod.com/product-qibo.html	https://studioatod.com/assets/img/177757_0501f07a5b7841f4be83797ae8dfa39e.jpg	out_of_stock	950.00 ILS	new	ATOD	ATD-QI-120
ATD-SE-230	גוף תאורה תלוי מבטון Set | ATOD	Set היא מנורת תקרה תלויה המפיצה אור רך ואחיד המתפזר בנוחות ברחבי החלל. העיצוב הרחב שלה הופך אותה למתאימה במיוחד להצבה מעל מזנונים או אזורי אוכל. האור שהיא יוצרת חמים ומזמין, ותורם לאווירה נעימה ברגעים של היומיום. צורתה הנקייה משתלבת בטבעיות בעיצובים מודרניים ומינימליסטיים. מנורה זו מביאה שילוב של פונקציונליות ויופי רגוע לכל חלל שבו היא תלויה.	https://studioatod.com/product-set.html	https://studioatod.com/assets/img/177757_9f8451fc8a504ac1ae2e9bfb841e20a1.jpg	in_stock	1350.00 ILS	new	ATOD	ATD-SE-230
ATD-OD-150	גוף תאורה תלוי מבטון Odd | ATOD	Odd היא מנורת תקרה תלויה המפיצה אור רך ואחיד המתפזר בנוחות ברחבי החלל. העיצוב הרחב שלה הופך אותה למתאימה במיוחד להצבה מעל איי מטבח, מזנונים או אזורי אוכל. האור שהיא יוצרת חמים ומזמין, ותורם לאווירה נעימה ברגעים של היומיום. צורתה הנקייה משתלבת בטבעיות בעיצובים מודרניים ומינימליסטיים. מנורה זו מביאה שילוב של פונקציונליות ויופי רגוע לכל חלל שבו היא תלויה.	https://studioatod.com/product-odd.html	https://studioatod.com/assets/img/177757_6105df109fbd4f30a6fe41c08f76aa82.jpg	in_stock	950.00 ILS	new	ATOD	ATD-OD-150
ATD-OP-150	מנורת קיר מבטון Opo | ATOD	מנורת הקיר Opo מציעה פרשנות מודרנית ופיסולית לתאורה משלימה. בזכות המבנה הפתוח והייחודי שלה, היא מפיצה אור רך וממוקד כלפי מטה, מה שהופך אותה לפתרון מושלם ליצירת נקודות עניין עיצוביות או להארת מעברים וחללים קטנים. צורתה המעוגלת, המזכירה "קשת" גיאומטרית, משלבת בין חומר גולמי למראה רך ומזמין. ה-Opo משתלבת בהרמוניה בחללים מינימליסטיים ומוסיפה נגיעה של תחכום מאופק ונוכחות עיצובית בלתי נשכחת לכל קיר.	https://studioatod.com/product-opo.html	https://studioatod.com/assets/img/177757_79a25f3b336541918302127b45f727c0.jpg	in_stock	900.00 ILS	new	ATOD	ATD-OP-150
ATD-OP-110	מנורת קיר מבטון Opi | ATOD	מנורת הקיר Opi מעניקה הארה רכה ונעימה לאזורים אינטימיים, כמו צדי המיטה או פינות קריאה. המנורה מפיצה אור דו-כיווני בצורה עדינה, היוצרת משחקי אור וצל על הקיר ואווירה שלווה ומזמינה. העיצוב המעוגל והחומר הגולמי משתלבים בטבעיות בחללים מודרניים ומינימליסטיים, ומוסיפים אלגנטיות שקטה ותחושת חמימות גולמית לבית.	https://studioatod.com/product-opi.html	https://studioatod.com/assets/img/177757_cecb6b911b7f44be874dc850f2756866.jpg	in_stock	850.00 ILS	new	ATOD	ATD-OP-110
ATD-UL-110	מנורת תקרה מבטון Ule | ATOD	מנורת התקרה Ule מביאה איתה נוכחות נקייה ומדויקת המשלבת עוצמה גולמית עם עיצוב מעודן. המבנה הצילינדרי שלה יוצר מוקד תאורה ישיר וממוקד המדגיש אלמנטים נבחרים בחלל. בזכות הזווית המתוחכמת של בסיס המנורה, היא מעניקה כיווניות ייחודית ותחושת תנועה, מה שהופך אותה לפתרון אידיאלי עבור מסדרונות, מטבחים או מעל דלפקים. ה-Ule מוסיפה אופי תעשייתי ומודרני, תוך שמירה על אלגנטיות שקטה שמשתלבת בכל חדר בטבעיות.	https://studioatod.com/product-ule.html	https://studioatod.com/assets/img/177757_e38d0f5c39e3457a917a69b1317d8dcc.jpg	in_stock	950.00 ILS	new	ATOD	ATD-UL-110
ATD-LO-90	מנורת תקרה מבטון Loe | ATOD	מנורת התקרה Loe מביאה איתה הרמוניה ויזואלית ותחושת זרימה לחלל. בזכות המבנה הקימורי והמעוגל שלה, היא מרככת את הנוכחות המסיבית של הבטון הגולמי והופכת אותו לאלמנט עיצובי עדין ומתוחכם. ה-Loe מפיצה הארה ממוקדת ואיכותית כלפי מטה, מה שהופך אותה לבחירה אידיאלית להדגשת אזורי עבודה, איים במטבח או פינות אוכל. העיצוב המינימליסטי והטקסטורה הטבעית שלה מאפשרים לה להשתלב בטבעיות בחללים מודרניים, תוך שהיא מוסיפה נגיעה של חמימות אורבנית ואלגנטיות שקטה לכל תקרה.	https://studioatod.com/product-loe.html	https://studioatod.com/assets/img/177757_04cdab05e9474ace83995e6c7584c6f6.jpg	in_stock	900.00 ILS	new	ATOD	ATD-LO-90
